id,name,class,score,gender,grade
33,Kenn Rein,Six,96,female,A
12,Recky,Six,94,female,A
32,Binn Rott,Seven,90,female,A
11,Ronald,Six,89,female,A
31,Marry Toeey,Four,88,male,A
35,Rows Noump,Six,88,female,A
25,Giff Tow,Seven,88,male,A
15,Tade Row,,88,male,A
16,Gimmy,Four,88,male,A
13,Kty,Seven,88,female,A
14,Bigy,Seven,88,female,A
28,Rojj Base,Seven,86,female,A
8,Asruid,Five,85,male,A
2,Max Ruin,Three,85,male,A
27,,Three,81,,B
30,Reppy Red,Six,79,female,B
26,Crelea,Seven,79,male,B
23,Herod,Eight,79,male,B
7,My John Rob,Fifth,78,male,B
24,Tiddy Now,Seven,78,male,B
9,Tes Qry,Six,78,,B
18,Honny,Five,75,male,B
1,John Deo,Four,75,female,B
34,Gain Toe,Seven,69,male,C
21,Babby John,Four,69,female,C
20,Jackly,Nine,65,female,C
4,Krish Star,Four,60,female,C
5,John Mike,Four,60,female,C
3,Arnold,Three,55,male,D
6,Alex John,Four,55,male,D
10,Big John,Four,55,female,D
22,Reggid,Seven,55,female,D
29,Tess Played,Seven,55,male,D
17,Tumyu,Six,54,male,D
19,Tinny,Nine,18,male,D
